championship,season,round,event,circuit,f0_,f1_,elapsed_hour
FIAWEC,2021,7,BAHRAIN INTERNATIONAL CIRCUIT 8 HOURS,BAHRAIN INTERNATIONAL CIRCUIT,7001,483.421,8
FIAWEC,2022,1,SEBRING,SEBRING,6407,439.809,7
FIAWEC,2022,2,SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,3483,362.829,6
FIAWEC,2022,3,LE MANS,LE MANS,20502,1445.614,24
FIAWEC,2022,4,AUTODROMO NAZIONALE DI MONZA,AUTODROMO NAZIONALE DI MONZA,6539,362.62,6
FIAWEC,2022,5,FUJI SPEEDWAY,FUJI SPEEDWAY,7746,362.899,6
FIAWEC,2022,6,BAHRAIN INTERNATIONAL CIRCUIT,BAHRAIN INTERNATIONAL CIRCUIT,8509,482.61,8
FIAWEC,2023,1,SEBRING,SEBRING,7417,482.271,8
FIAWEC,2023,2,AUTODROMO DO ALGARVE,AUTODROMO DO ALGARVE,7596,363.046,6
IMSA,2016,1,Belle Isle Street Circuit,Belle Isle Street Circuit,1359,101.224,2
IMSA,2016,2,Watkins Glen International,Watkins Glen International,6744,362.042,6
IMSA,2016,3,Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,4245,162.255,3
IMSA,2016,4,Lime Rock,Lime Rock Park,4523,161.559,3
IMSA,2016,5,Road America,Road America,2733,162.059,3
IMSA,2016,6,VIRginia International Raceway,VIRginia International Raceway,1777,161.745,3
IMSA,2016,7,Circuit of the Americas,CIRCUIT OF THE AMERICAS,2720,164.089,3
IMSA,2017,2,Daytona International Speedway,Daytona International Speedway,29494,1442.768,24
IMSA,2017,4,Sebring International Raceway,Sebring International Raceway,13147,723.253,12
IMSA,2017,5,Long Beach Street Circuit,Long Beach Street Circuit,1956,102.041,2
IMSA,2017,6,Circuit of the Americas,CIRCUIT OF THE AMERICAS,2406,162.229,3
IMSA,2017,7,Belle Isle Street Circuit,Belle Isle Street Circuit,1535,102.328,2
IMSA,2017,9,Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,4051,163.919,3
IMSA,2017,10,Lime Rock Park,Lime Rock Park,4057,161.188,3
IMSA,2017,11,Road America,Road America,2263,162.728,3
IMSA,2017,12,VIRginia International Raceway,VIRginia International Raceway,2008,163.089,3
IMSA,2017,13,Mazda Raceway Laguna Seca,Weathertech Raceway Laguna Seca,3533,162.566,3
IMSA,2018,2,Daytona International Speedway,Daytona International Speedway,35687,1443.322,24
IMSA,2018,3,Sebring International Raceway,Sebring International Raceway,12907,722.628,12
IMSA,2018,4,Long Beach Street Circuit,Long Beach Street Circuit,1323,102.326,2
IMSA,2018,5,Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,3999,162.323,3
IMSA,2018,6,Belle Isle Street Circuit,Belle Isle Street Circuit,1568,101.788,2
IMSA,2018,7,Watkins Glen International,Watkins Glen International,7108,362.142,6
IMSA,2018,8,Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,3246,161.725,3
IMSA,2018,9,Lime Rock Park,Lime Rock Park,2747,161.153,3
IMSA,2018,10,Road America,Road America,2078,162.39,3
IMSA,2018,11,VIRginia International Raceway,VIRginia International Raceway,1469,162.698,3
IMSA,2018,12,Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,2811,162.698,3
IMSA,2018,13,Road Atlanta,Road Atlanta,14153,601.849,10
IMSA,2019,2,Daytona International Speedway,Daytona International Speedway,24472,1321.734,22
IMSA,2019,3,Sebring International Raceway,Sebring International Raceway,12022,721.883,12
IMSA,2019,4,Long Beach Street Circuit,Long Beach Street Circuit,1250,102.347,2
IMSA,2019,5,Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,3899,162.472,3
IMSA,2019,6,Belle Isle Street Course,Belle Isle Street Circuit,1194,101.528,2
IMSA,2019,7,Watkins Glen International,Watkins Glen International,6301,361.986,6
IMSA,2019,8,Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,3807,169.33,3
IMSA,2019,9,Lime Rock Park,Lime Rock Park,3731,161.212,3
IMSA,2019,10,Road America,Road America,2658,163.858,3
IMSA,2019,11,VIRginia International Raceway,VIRginia International Raceway,1781,163.13,3
IMSA,2019,12,Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,3509,162.393,3
IMSA,2019,13,Road Atlanta,Road Atlanta,13288,602.066,10
IMSA,2020,2,Rolex 24 at Daytona,Daytona International Speedway,27545,1442.216,24
IMSA,2020,3,Daytona International Speedway,Daytona International Speedway,2271,161.993,3
IMSA,2020,5,Road America,Road America,1760,167.501,3
IMSA,2020,6,VIRginia International Raceway,VIRginia International Raceway,1555,161.952,3
IMSA,2020,7,Road Atlanta,Road Atlanta,6678,361.523,6
IMSA,2020,8,Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,2529,161.282,3
IMSA,2020,9,Charlotte Motor Speedway,Charlotte Motor Speedway,894,100.771,2
IMSA,2020,10,Motul Petit Le Mans,Road Atlanta,12809,602.454,10
IMSA,2020,11,Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,3062,162.314,3
IMSA,2020,12,Sebring International Raceway,Sebring International Raceway,9732,722.529,12
IMSA,2021,2,Daytona International Speedway,Daytona International Speedway,33029,1441.837,24
IMSA,2021,3,Sebring International Raceway,Sebring International Raceway,11075,722.862,12
IMSA,2021,4,Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,2795,161.671,3
IMSA,2021,5,6H - Watkins Glen International,Watkins Glen International,6351,361.229,6
IMSA,2021,6,WeatherTech 240 - WGI,Watkins Glen International,1693,163.109,3
IMSA,2021,7,Lime Rock Park,Lime Rock Park,1563,89.41,1
IMSA,2021,8,Road America,Road America,2365,162.56,3
IMSA,2021,9,Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,2668,162.165,3
IMSA,2021,10,Long Beach Street Circuit,Long Beach Street Circuit,1861,102.013,2
IMSA,2021,11,VIRginia International Raceway,VIRginia International Raceway,1473,162.274,3
IMSA,2021,12,Road Atlanta,Road Atlanta,13672,601.747,10
IMSA,2022,1,ROAR Before the 24,Daytona International Speedway,3185,102.553,2
IMSA,2022,2,Daytona International Speedway,Daytona International Speedway,37597,1442.046,24
IMSA,2022,3,Sebring International Raceway,Sebring International Raceway,15518,723.761,12
IMSA,2022,4,Long Beach Street Circuit,Long Beach Street Circuit,1685,101.772,2
IMSA,2022,5,Weathertech Raceway Laguna Seca,Weathertech Raceway Laguna Seca,3258,162.484,3
IMSA,2022,6,Mid-Ohio Sports Car Course,Mid-Ohio Sports Car Course,3524,161.728,3
IMSA,2022,7,Belle Isle Street Course,Belle Isle Street Circuit,1050,102.111,2
IMSA,2022,8,Watkins Glen International,Watkins Glen International,6698,372.145,6
IMSA,2022,9,Canadian Tire Motorsport Park,Canadian Tire Motorsport Park,2604,161.089,3
IMSA,2022,10,Lime Rock Park,Lime Rock Park,2343,161.39,3
IMSA,2022,11,Road America,Road America,2258,161.438,3
IMSA,2022,12,VIRginia International Raceway,VIRginia International Raceway,1462,162.276,3
IMSA,2022,13,Road Atlanta,Road Atlanta,15303,600.87,10
IMSA,2023,2,Daytona International Speedway,Daytona International Speedway,39736,1443.028,24
IMSA,2023,4,Sebring International Raceway,Sebring International Raceway,15196,722.52,12
IMSA,2023,5,Long Beach Street Circuit,Long Beach Street Circuit,1844,103.215,2
LeMansCup,2017,1,AUTODROMO NAZIONALE DI MONZA,AUTODROMO NAZIONALE DI MONZA,1126,121.785,2
LeMansCup,2017,3,RED BULL RING,RED BULL RING,1471,119.998,2
LeMansCup,2017,4,PAUL RICARD,PAUL RICARD,900,122.508,2
LeMansCup,2017,5,SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,818,122.575,2
LeMansCup,2017,6,AUTODROMO DO ALGARVE,AUTODROMO DO ALGARVE,1155,122.762,2
LeMansCup,2018,2,PAUL RICARD,PAUL RICARD,1554,123.202,2
LeMansCup,2018,3,AUTODROMO NAZIONALE DI MONZA,AUTODROMO NAZIONALE DI MONZA,1517,122.472,2
LeMansCup,2018,5,RED BULL RING,RED BULL RING,1790,122.576,2
LeMansCup,2018,6,SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,938,124.512,2
LeMansCup,2018,7,AUTODROMO DO ALGARVE,AUTODROMO DO ALGARVE,1447,122.675,2
LeMansCup,2019,2,PAUL RICARD,PAUL RICARD,1513,122.903,2
LeMansCup,2019,3,AUTODROMO NAZIONALE DI MONZA,AUTODROMO NAZIONALE DI MONZA,1627,123.512,2
LeMansCup,2019,5,BARCELONA-CATALUNYA,BARCELONA-CATALUNYA,1644,123.075,2
LeMansCup,2019,6,SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,1162,122.254,2
LeMansCup,2019,7,AUTODROMO DO ALGARVE,AUTODROMO DO ALGARVE,1627,122.076,2
LeMansCup,2020,2,PAUL RICARD,PAUL RICARD,1246,123.218,2
LeMansCup,2020,3,SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,987,122.598,2
LeMansCup,2020,4,PAUL RICARD 120,PAUL RICARD,1276,123.565,2
LeMansCup,2020,6,AUTODROMO NAZIONALE DI MONZA,AUTODROMO NAZIONALE DI MONZA,1200,122.975,2
LeMansCup,2020,7,AUTODROMO DO ALGARVE,AUTODROMO DO ALGARVE,1277,122.246,2
LeMansCup,2021,2,BARCELONA-CATALUNYA,BARCELONA-CATALUNYA,1661,121.836,2
LeMansCup,2021,3,PAUL RICARD,PAUL RICARD,1687,122.047,2
LeMansCup,2021,4,AUTODROMO NAZIONALE DI MONZA,AUTODROMO NAZIONALE DI MONZA,1420,122.785,2
LeMansCup,2021,6,SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,1207,114.398,2
LeMansCup,2021,7,AUTODROMO DO ALGARVE,AUTODROMO DO ALGARVE,1852,122.22,2
LeMansCup,2022,2,PAUL RICARD,PAUL RICARD,1977,110.875,2
LeMansCup,2022,3,IMOLA,IMOLA,1828,112.447,2
LeMansCup,2022,5,AUTODROMO NAZIONALE DI MONZA,AUTODROMO NAZIONALE DI MONZA,1489,112.676,2
LeMansCup,2022,6,SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,1196,113.631,2
LeMansCup,2022,7,AUTODROMO DO ALGARVE,AUTODROMO DO ALGARVE,718,143.6,2
