,championship,season,round,event,circuit,f0_,f1_,elapsed_hour,event_key
95,FIAWEC,2017,6,6 hours of AUTODROMO HERMANOS RODRIGUEZ,AUTODROMO HERMANOS RODRIGUEZ,5460,361.809,6,FIAWEC_2017_6
96,FIAWEC,2017,7,6 hours of CIRCUIT OF THE AMERICAS,CIRCUIT OF THE AMERICAS,4272,364.737,6,FIAWEC_2017_7
97,FIAWEC,2017,8,4 hours of FUJI SPEEDWAY,FUJI SPEEDWAY,2747,266.899,4,FIAWEC_2017_8
98,FIAWEC,2017,9,6 hours of SHANGHAI INTERNATIONAL CIRCUIT,SHANGHAI INTERNATIONAL CIRCUIT,4353,362.798,6,FIAWEC_2017_9
99,FIAWEC,2017,10,6 hours of BAHRAIN INTERNATIONAL CIRCUIT,BAHRAIN INTERNATIONAL CIRCUIT,4596,363.208,6,FIAWEC_2017_10
100,FIAWEC,2018-2019,4,6 hours of SILVERSTONE,SILVERSTONE,5608,362.662,6,FIAWEC_2018-2019_4
101,FIAWEC,2018-2019,5,6 hours of FUJI SPEEDWAY,FUJI SPEEDWAY,6601,362.095,6,FIAWEC_2018-2019_5
102,FIAWEC,2018-2019,6,6 hours of SHANGHAI INTERNATIONAL CIRCUIT,SHANGHAI INTERNATIONAL CIRCUIT,3707,364.22,6,FIAWEC_2018-2019_6
103,FIAWEC,2018-2019,7,1000 Miles of SEBRING,SEBRING,7175,481.328,8,FIAWEC_2018-2019_7
104,FIAWEC,2018-2019,8,6 hours of SPA FRANCORCHAMPS,SPA FRANCORCHAMPS,4232,345.489,6,FIAWEC_2018-2019_8
105,FIAWEC,2018-2019,9,24 hours of LE MANS,LE MANS,18765,1444.097,24,FIAWEC_2018-2019_9
106,FIAWEC,2019-2020,2,4 hours of SILVERSTONE,SILVERSTONE,3480,242.744,4,FIAWEC_2019-2020_2
107,FIAWEC,2019-2020,3,6 hours of FUJI SPEEDWAY,FUJI SPEEDWAY,6375,362.052,6,FIAWEC_2019-2020_3
108,FIAWEC,2019-2020,4,4 hours of SHANGHAI INTERNATIONAL CIRCUIT,SHANGHAI INTERNATIONAL CIRCUIT,3526,242.937,4,FIAWEC_2019-2020_4
